2	8	26	0	0
2	8	54	0	0
103	0	82	0	0
5	9	60	0	0
60	10	5	0	0
5	9	265	0	0
265	10	5	0	0
2	19	16	0	0
2	21	0	0	0
2	8	70	0	0
244	7	164	0	0
3	2	0	0	0
326	23	1	0	0
28	21	0	0	0
4	1	318	0	0
318	1	4	0	0
353	2	43	0	0
138	0	5	0	0
0	2	5	0	0
334	2	13	0	0
334	2	386	0	0
55	2	36	0	0
1	3	60	0	0
38	8	189	0	0
4	2	24	0	0
5	8	16	0	0
8	2	105	0	0
38	8	0	0	0
21	5	93	0	0
93	6	21	0	0
69	9	5	0	0
5	9	40	0	0
5	9	25	0	0
84	3	56	0	0
195	2	55	0	0
45	0	8	0	0
4	0	40	0	0
21	7	1	0	0
83	7	1	0	0
1	17	60	0	0
60	17	1	0	0
92	23	15	0	0
5	9	189	0	0
8	0	153	0	0
71	90	160	0	0
55	0	105	0	0
55	4	105	0	0
55	4	38	0	0
235	13	55	0	0
55	13	235	0	0
104	8	55	0	0
104	0	2	0	0
44	10	2	0	0
37	126	4	0	0
48	18	5	0	0
53	2	0	0	0
22	0	6	0	0
22	6	0	0	0
0	5	22	0	0
2	9	25	0	0
13	58	202	0	0
93	35	6	0	0
79	9	104	0	0
104	10	79	0	0
104	10	5	0	0
5	9	104	0	0
104	2	0	0	0
170	13	414	0	0
414	13	170	0	0
58	15	9	0	0
9	7	62	0	0
58	7	62	0	0
304	35	0	0	0
38	38	33	0	0
1	0	209	0	0
1	1	125	0	0
125	1	1	0	0
9	15	3	0	0
61	90	20	0	0
20	90	61	0	0
98	2	0	0	0
6	5	22	0	0
22	6	6	0	0
44	48	0	0	0
2	29	0	0	0
0	24	9	0	0
0	14	35	0	0
5	4	1	0	0
0	53	282	0	0
0	10	145	0	0
145	9	0	0	0
5	38	282	0	0
68	53	0	0	0
17	3	192	0	0
15	5	32	0	0
51	5	32	0	0
32	6	15	0	0
32	6	51	0	0
410	6	357	0	0
357	5	410	0	0
2	0	142	0	0
127	8	26	0	0
26	49	17	0	0
2	0	16	0	0
2	68	444	0	0
42	8	0	0	0
409	20	65	0	0
0	20	65	0	0
0	2	17	0	0
363	10	2	0	0
2	8	0	0	0
15	28	0	0	0
409	88	58	0	0
409	11	0	0	0
0	10	2	0	0
2	9	0	0	0
2	11	0	0	0
113	10	0	0	0
113	10	26	0	0
113	10	60	0	0
60	10	113	0	0
60	10	4	0	0
7	12	13	0	0
51	0	13	0	0
222	143	178	0	0
265	110	148	0	0
265	13	1	0	0
1	110	148	0	0
1	13	265	0	0
72	3	148	0	0
45	118	18	0	0
15	0	93	0	0
32	3	0	0	0
0	27	18	0	0
38	9	26	0	0
44	10	38	0	0
44	27	2	0	0
38	9	44	0	0
44	10	18	0	0
0	10	18	0	0
44	27	18	0	0
55	0	87	0	0
0	6	12	0	0
12	5	0	0	0
118	9	0	0	0
0	27	124	0	0
113	27	124	0	0
5	132	2	0	0
421	0	5	0	0
0	24	38	0	0
38	0	64	0	0
88	97	1	0	0
1	97	88	0	0
3	20	88	0	0
3	20	1	0	0
2	0	44	0	0
2	0	24	0	0
2	28	66	0	0
66	30	2	0	0
38	29	0	0	0
7	3	87	0	0
40	34	105	0	0
2	0	5	0	0
281	4	10	0	0
2	19	0	0	0
138	64	2	0	0
25	10	38	0	0
38	9	25	0	0
262	14	35	0	0
0	7	1	0	0
76	0	38	0	0
69	9	4	0	0
91	4	407	0	0
103	1	4	0	0
4	1	103	0	0
22	2	6	0	0
91	1	160	0	0
160	1	91	0	0
7	0	105	0	0
66	89	35	0	0
266	89	35	0	0
4	16	285	0	0
285	16	4	0	0
4	0	5	0	0
31	12	122	0	0
1	29	0	0	0
10	22	155	0	0
15	22	51	0	0
51	22	15	0	0
10	0	31	0	0
10	0	261	0	0
10	0	1	0	0
